asset,freq,h,period,measure,model,mcs_p,in_mcs
CL_WTI,1min,5,crisis,TSRV,GARCH,,True
CL_WTI,1min,5,crisis,TSRV,ARFIMA,,True
CL_WTI,1min,5,crisis,TSRV,HAR,,True
CL_WTI,1min,5,crisis,TSRV,ANN,,True
CL_WTI,1min,5,crisis,TSRV,HAR-ANN,,True
CL_WTI,1min,5,crisis,RV,GARCH,,True
CL_WTI,1min,5,crisis,RV,ARFIMA,,True
CL_WTI,1min,5,crisis,RV,HAR,,True
CL_WTI,1min,5,crisis,RV,ANN,,True
CL_WTI,1min,5,crisis,RV,HAR-ANN,,True
CL_WTI,1min,5,crisis,JWTSRV,GARCH,,True
CL_WTI,1min,5,crisis,JWTSRV,ARFIMA,,True
CL_WTI,1min,5,crisis,JWTSRV,HAR,,True
CL_WTI,1min,5,crisis,JWTSRV,ANN,,True
CL_WTI,1min,5,crisis,JWTSRV,HAR-ANN,,True
CL_WTI,1min,5,crisis,MedRV,GARCH,,True
CL_WTI,1min,5,crisis,MedRV,ARFIMA,,True
CL_WTI,1min,5,crisis,MedRV,HAR,,True
CL_WTI,1min,5,crisis,MedRV,ANN,,True
CL_WTI,1min,5,crisis,MedRV,HAR-ANN,,True
